fighter,event_date,opp_elo_mean,opp_elo_mean_wins,opp_elo_mean_losses,wins_vs_top,losses_vs_top,losses_vs_bottom,bad_loss_ratio
Adam Milstead,2018-12-15,1499.8006933747545,1500.0,1516.8285361103995,0,0,0,0.0
Adam Wieczorek,2017-11-18,,,,0,0,0,0.0
Adam Wieczorek,2018-04-14,1475.3419596820306,1475.3419596820306,,0,0,0,0.0
Adam Wieczorek,2018-11-03,1487.6709798410152,1487.6709798410152,,0,0,0,0.0
Adam Yandiev,2018-09-15,,,,0,0,0,0.0
Adlan Amagov,2013-04-06,,,,0,0,0,0.0
Adlan Amagov,2013-10-19,1500.0,1500.0,,0,0,0,0.0
Adrian Luna Martinetti,2026-04-25,,,,0,0,0,0.0
Adrian Serrano,2000-06-09,,,,0,0,0,0.0
Adrian Yanez,2020-10-31,,,,0,0,0,0.0
Adrian Yanez,2021-03-20,1500.0,1500.0,,0,0,0,0.0
Adrian Yanez,2021-07-24,1492.2056007184817,1492.2056007184817,,0,0,0,0.0
Adrian Yanez,2021-11-20,1493.3790732980895,1493.3790732980895,,0,0,0,0.0
Adrian Yanez,2022-06-18,1497.7775556238992,1497.7775556238992,,0,0,0,0.0
Adrian Yanez,2023-04-08,1498.0042172863114,1498.0042172863114,,0,0,0,0.0
Adrian Yanez,2023-10-14,1507.497048755102,1498.0042172863114,1554.9612060990562,0,0,0,0.0
Adrian Yanez,2024-05-18,1513.3898004555333,1498.0042172863114,1551.8537583785878,0,0,0,0.0
Adrian Yanez,2024-12-14,1509.729205856682,1495.6876883493799,1551.8537583785878,0,0,0,0.0
Adrian Yanez,2026-03-28,1511.8446753894023,1495.6876883493799,1544.1586494694468,0,0,0,0.0
Adrian Yanez,2026-07-11,1516.4786877690724,1495.6876883493799,1544.1586494694468,0,0,0,0.0
Adriano Martins,2013-11-09,,,,0,0,0,0.0
Adriano Martins,2014-01-25,1517.8241819500931,1517.8241819500931,,0,0,0,0.0
Adriano Martins,2014-07-06,1538.3361305902645,1517.8241819500931,1558.8480792304356,0,0,0,0.0
Adriano Martins,2015-02-22,1525.5574203935096,1508.9120909750466,1558.8480792304356,0,0,0,0.0
Adriano Martins,2015-10-03,1531.1858944245394,1521.9651661559071,1558.8480792304356,0,0,0,0.0
Adriano Martins,2016-10-08,1524.9487155396314,1516.4738746169303,1558.8480792304356,0,0,0,0.0
Adriano Martins,2017-09-09,1528.4397802325173,1516.4738746169303,1552.3715914636905,0,0,0,0.0
Adriano Santos,1998-10-16,,,,0,0,0,0.0
Aiemann Zahabi,2017-02-19,,,,0,0,0,0.0
Aiemann Zahabi,2017-11-04,1515.296819522606,1515.296819522606,,0,0,0,0.0
Aiemann Zahabi,2019-05-04,1507.648409761303,1515.296819522606,1500.0,0,0,0,0.0
Aiemann Zahabi,2021-02-20,1505.0989398408685,1515.296819522606,1500.0,0,0,0,0.0
Aiemann Zahabi,2022-07-09,1503.8242048806515,1507.648409761303,1500.0,0,0,0,0.0
Aiemann Zahabi,2023-06-10,1503.0593639045212,1505.0989398408685,1500.0,0,0,0,0.0
